channel_number,channel_id,channel_group_id,stream_id,stream_name,stream_url
21.0,550,4,3018,GOL PLAY FHD 0612 --> NEW ERA,http://gluetun:6878/ace/getstream?id=9fb99c40a2c45d5c5342b30626eb56140f980612
21.0,550,4,3017,GOL PLAY FHD 4a3a --> NEW ERA,http://gluetun:6878/ace/getstream?id=b2d560741c006fc5e4a42412bb52dbd25a6a4a3a
21.0,550,4,3019,GOL PLAY FHD 4f93 --> NEW ERA,http://gluetun:6878/ace/getstream?id=73094658f0a3ed523c0e188de67a7a690c0d4f93
20.0,549,5,2952,DAZN 4 FHD 1693 --> NEW ERA VI,http://gluetun:6878/ace/getstream?id=eb884f77ce8815cf1028c4d85e8b092c27ea1693
20.0,549,5,2953,DAZN 4 a3b8 --> NEW LOOP,http://gluetun:6878/ace/getstream?id=7e90956539f4e1318a63f3960e4f75c7c7c5a3b8
19.0,548,5,2949,DAZN 3 FHD 3b28 --> NEW ERA,http://gluetun:6878/ace/getstream?id=8a86cd6152154a25ad4b76523160552a40313b28
19.0,548,5,2950,DAZN 3 FHD f460 --> NEW ERA VI,http://gluetun:6878/ace/getstream?id=4e401fdceebffdf1f09aef954844d09f6c62f460
18.0,547,5,2948,DAZN 2 BAR FHD b57c --> NEW ERA,http://gluetun:6878/ace/getstream?id=2f9211669499f413dab1a490198afab2a9b4b57c
18.0,547,5,2944,DAZN 2 FHD 7a35 --> NEW ERA,http://gluetun:6878/ace/getstream?id=8b081c8afbd9beafc8c5fbf0115eb36eadb07a35
18.0,547,5,2945,DAZN 2 FHD ff37 --> NEW ERA VI,http://gluetun:6878/ace/getstream?id=43004e955731cd3afcc34d24e5178d4b427bff37
18.0,547,5,2946,DAZN 2 b8ab --> ELCANO,http://gluetun:6878/ace/getstream?id=ae68a0835039fab28fd2314108fabd4fab33b8ab
18.0,547,5,2947,DAZN 2 f516 --> NEW LOOP,http://gluetun:6878/ace/getstream?id=b0eabe0fdd02fdd165896236765a9b753a2ff516
17.0,546,5,2943,DAZN 1 BAR FHD 5ae3 --> NEW ERA,http://gluetun:6878/ace/getstream?id=688e785893b50acc1d00cb37f15bfc42e72f5ae3
